ds,ndvi_mean,ndvi_std,ndvi_anomaly
2025-08-18,0.3798595,0.24429250000000002,0.054383
2025-08-25,0.46696825000000003,0.24715525000000002,0.06758
2025-09-01,0.554077,0.250018,0.242654
2025-09-08,0.48211250000000005,0.240766,0.061926
2025-09-15,0.410148,0.231514,0.076714
2025-09-22,0.252793,0.271691,-0.007447
2025-09-29,0.282791,0.18847,0.040396
2025-10-06,0.336589,0.187643,-0.009482
2025-10-13,0.404201,0.166995,0.084063
2025-10-20,0.38081699999999996,0.19022450000000002,-0.039224
2025-10-27,0.357433,0.213454,-0.051674
2025-11-03,0.44921,0.18167,0.079673
2025-11-10,0.431449,0.184871,0.003016
2025-11-17,0.412068,0.201341,0.023693
2025-11-24,0.402805,0.174217,0.168065
2025-12-01,0.443358,0.204616,0.057508
2025-12-08,0.442517,0.209724,-0.017516
2025-12-15,0.334102,0.164815,0.046964
