ds,y,rainfall,transport_lag_3
2001-01-10,253.33333333333334,0.0,0.0
2001-02-08,350.0,0.0,0.0
2001-03-07,420.0,0.0,0.0
2001-03-08,420.0,0.0,0.0
2001-03-13,220.0,0.0,0.0
2001-03-15,220.0,0.0,0.0
2001-03-17,220.0,0.0,0.0
2001-03-20,22.0,0.0,0.0
2001-03-21,220.0,0.0,0.0
2001-03-22,200.0,0.0,0.0
2001-03-27,225.0,0.0,0.0
2001-03-29,267.5,0.0,0.0
2001-03-30,340.0,0.0,0.0
2001-04-03,342.5,0.0,0.0
2001-04-05,400.0,0.0,0.0
2001-04-06,400.0,0.0,0.0
2001-04-07,425.0,0.0,0.0
2001-04-08,425.0,0.0,0.0
2001-04-10,400.0,0.0,0.0
2001-04-11,327.5,0.0,0.0
2001-04-12,317.5,0.0,0.0
2001-04-13,390.0,0.0,0.0
2001-04-14,390.0,0.0,0.0
2001-04-18,270.0,0.0,0.0
2001-04-19,307.0,0.0,0.0
2001-04-20,310.0,0.0,0.0
2001-04-21,340.0,0.0,0.0
2001-04-24,276.0,0.0,0.0
2001-04-25,333.0,0.0,0.0
2001-04-26,342.0,0.0,0.0
2001-04-27,291.0,0.0,0.0
2001-04-28,352.0,0.0,0.0
2001-04-29,350.0,0.0,0.0
2001-04-30,240.0,0.0,0.0
2001-05-01,300.0,0.0,0.0
2001-05-02,300.0,0.0,0.0
2001-05-03,275.0,0.0,0.0
2001-05-04,300.0,0.0,0.0
2001-05-05,287.0,0.0,0.0
2001-05-08,233.5,0.0,0.0
2001-05-09,512.3333333333334,0.0,0.0
2001-05-11,213.5,0.0,0.0
2001-05-12,235.0,0.0,0.0
2001-05-15,240.0,0.0,0.0
2001-05-17,210.0,0.0,0.0
2001-05-22,252.0,0.0,0.0
2001-05-23,260.0,0.0,0.0
2001-05-24,231.0,0.0,0.0
2001-05-25,227.5,0.0,0.0
2001-05-26,230.0,0.0,0.0
2001-05-30,272.5,0.0,0.0
2001-05-31,277.5,0.0,0.0
2001-06-01,263.0,0.0,0.0
2001-06-02,255.66666666666666,0.0,0.0
2001-06-03,250.0,0.0,0.0
2001-06-04,340.0,0.0,0.0
2001-06-05,250.0,0.0,0.0
2001-06-06,332.5,0.0,0.0
2001-06-07,291.5,0.0,0.0
2001-06-08,267.5,0.0,0.0
2001-06-09,285.5,0.0,0.0
2001-06-10,265.0,0.0,0.0
2001-06-11,337.0,0.0,0.0
2001-06-12,262.0,0.0,0.0
